日期,入出境總人數_小計,桃園一期入境查驗,桃園一期出境查驗,桃園一期小計,桃園二期入境查驗,桃園二期出境查驗,桃園二期小計,桃園一_二期合計,高雄機場入境查驗,高雄機場出境查驗,高雄機場小計,基隆港入境查驗,基隆港出境查驗,基隆港小計,台中港入境查驗,台中港出境查驗,台中港小計,高雄港入境查驗,高雄港出境查驗,高雄港小計,花蓮港入境查驗,花蓮港出境查驗,花蓮港小計,蘇澳港入境查驗,蘇澳港出境查驗,蘇澳港小計,澎湖港入境查驗,澎湖港出境查驗,澎湖港小計,台南機場入境查驗,台南機場出境查驗,台南機場小計,安平港入境查驗,安平港出境查驗,安平港小計,松山機場入境查驗,松山機場出境查驗,松山機場小計,金門港_水頭入境查驗,金門港_水頭出境查驗,金門港_水頭小計,馬祖入境查驗,馬祖出境查驗,馬祖小計,花蓮機場入境查驗,花蓮機場出境查驗,花蓮機場小計,麥寮港入境查驗,麥寮港出境查驗,麥寮港小計,馬公機場入境查驗,馬公機場出境查驗,馬公機場小計,台中機場入境查驗,台中機場出境查驗,台中機場小計,和平港入境查驗,和平港出境查驗,和平港小計,金門機場入境查驗,金門機場出境查驗,金門機場小計,南竿機場入境查驗,南竿機場出境查驗,南竿機場小計,北竿機場入境查驗,北竿機場出境查驗,北竿機場小計,嘉義機場入境查驗,嘉義機場出境查驗,嘉義機場小計,台北港入境查驗,台北港出境查驗,台北港小計,東港入境查驗,東港出境查驗,東港小計,台東機場入境查驗,台東機場出境查驗,台東機場小計,北竿白沙港入境查驗,北竿白沙港出境查驗,北竿白沙港小計,布袋港入境查驗,布袋港出境查驗,布袋港小計,大園沙崙港入境查驗,大園沙崙港出境查驗,大園沙崙港小計,台東富岡港入境查驗,台東富岡港出境查驗,台東富岡港小計,馬公港入境查驗,馬公港出境查驗,馬公港小計,桃園竹圍港入境查驗,桃園竹圍港出境查驗,桃園竹圍港小計,金門港_料羅入境查驗,金門港_料羅出境查驗,金門港_料羅小計,後壁湖遊艇港入境查驗,後壁湖遊艇港出境查驗,後壁湖遊艇港小計,淡水第二漁港遊艇碼頭入境查驗,淡水第二漁港遊艇碼頭出境查驗,淡水第二漁港遊艇碼頭小計,屏東大鵬灣遊艇港入境查驗,屏東大鵬灣遊艇港出境查驗,屏東大鵬灣遊艇港小計,屏東機場入境查驗,屏東機場出境查驗,屏東機場小計,離岸式風力發電計畫入境查驗,離岸式風力發電計畫出境查驗,離岸式風力發電計畫小計,蘭嶼開元港入境查驗,蘭嶼開元港出境查驗,蘭嶼開元港小計,前鎮漁港入境查驗,前鎮漁港出境查驗,前鎮漁港小計,觀塘工業港入境查驗,觀塘工業港出境查驗,觀塘工業港小計
20251101,157414,32391,29580,61971,29750,27995,57745,119716,8795,8184,16979,3,2,5,16,8,24,13,99,112,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,4538,4205,8743,3619,2681,6300,34,112,146,38,38,76,3,3,6,0,0,0,2596,2388,4984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,2,0,0,0,78,238,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251102,170597,32537,32138,64675,30814,28404,59218,123893,8740,8320,17060,4293,4117,8410,15,2,17,26,153,179,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4671,4525,9196,2876,3252,6128,65,152,217,32,40,72,2,0,2,0,0,0,2717,2513,5230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,70,119,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251103,152564,29360,31007,60367,28264,28079,56343,116710,8120,8121,16241,0,3,3,27,6,33,16,37,53,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,4593,4626,9219,2325,2586,4911,52,56,108,0,0,0,2,1,3,0,0,0,2510,2671,5181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,14,14,0,0,0,27,55,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251104,137428,26985,27301,54286,26061,24195,50256,104542,7509,7116,14625,0,0,0,43,20,63,14,24,38,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,4270,4109,8379,2521,2724,5245,52,45,97,24,25,49,0,0,0,0,0,0,2027,2186,4213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,95,63,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251105,136007,25537,26430,51967,25372,23811,49183,101150,7294,7749,15043,5,1,6,35,32,67,20,15,35,1,1,2,0,0,0,0,0,0,0,0,0,11,11,22,4916,4672,9588,2484,2544,5028,68,53,121,0,0,0,2,4,6,0,0,0,2436,2367,4803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,11,0,0,0,76,49,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251106,144169,26887,28668,55555,26214,26834,53048,108603,7817,8374,16191,2,1,3,10,7,17,43,38,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4435,4435,8870,2789,2472,5261,97,70,167,38,36,74,4,0,4,0,0,0,2337,2329,4666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,7,9,0,0,0,126,96,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251107,159004,29616,30232,59848,28728,28375,57103,116951,8213,8145,16358,1974,2466,4440,12,8,20,32,97,129,0,0,0,1,1,2,0,0,0,6,0,6,1,4,5,4607,4674,9281,2796,3071,5867,126,120,246,0,0,0,10,10,20,0,0,0,2537,2924,5461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,0,0,0,0,0,0,116,93,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251108,156523,29417,30523,59940,29215,28690,57905,117845,8528,8907,17435,4,0,4,6,1,7,28,16,44,5,5,10,0,0,0,0,0,0,0,0,0,3,0,3,4415,4464,8879,3763,3184,6947,104,153,257,22,23,45,8,15,23,0,0,0,2597,2192,4789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,0,8,8,0,0,0,118,104,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251109,167804,31238,32401,63639,30947,28606,59553,123192,9161,8661,17822,2453,2324,4777,0,0,0,13,8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4636,4648,9284,3434,3461,6895,113,154,267,34,39,73,9,1,10,0,0,0,2602,2777,5379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,0,0,0,0,0,0,63,13,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251110,147245,29152,29599,58751,28893,27322,56215,114966,8544,8627,17171,1,0,1,6,8,14,14,4,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4113,4253,8366,644,602,1246,0,0,0,0,0,0,0,1,1,0,0,0,2642,2817,5459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
